# Dedicated carrier IDC/cloud ASNs excluded from CN-ISP.txt.
# Classification uses the current RIPEstat ASN holder name.
carrier	asn	holder
chinanet	AS4816	CHINANET-IDC-GD - China Telecom (Group)
chinanet	AS4835	CHINANET-IDC-SN - China Telecom (Group)
chinanet	AS23650	CHINANET-Jiangsu-Province-IDC - AS Number for CHINANET jiangsu province backbone
chinanet	AS23724	CHINANET-IDC-BJ-AP - IDC, China Telecommunications Corporation
chinanet	AS38283	CHINANET-SCIDC-AS-AP - CHINANET SiChuan Telecom Internet Data Center
chinanet	AS58461	CT-HangZhou-IDC - No.288,Fu-chun Road
chinanet	AS58466	CT-Guangzhou-IDC - CHINANET Guangdong province network
chinanet	AS58539	CHINATELECOM-Hebei-Langfang-IDC - Langfang,Hebei province, P.R.China
chinanet	AS58540	CHINATELECOM-SHANDONG-JINAN-IDC - Jinan,250000
chinanet	AS58541	CHINATELECOM-SHANDONG-QINGDAO-IDC - Qingdao,266000
chinanet	AS58543	CHINATELECOM-Guangdong-IDC - Guangdong
chinanet	AS58563	CHINATELECOM-Hubei-IDC - CHINANET Hubei province network
chinanet	AS58772	ChinaNet-Fujian-Fuzhou-IDC - CHINANET Fujian province Fuzhou IDC network
chinanet	AS59223	CT-Qinghai-IDC - CHINANET Qinghai province IDC network
chinanet	AS63835	CT-HuNan-Changsha-IDC - No.293,Wanbao Avenue
chinanet	AS63838	CT-HuNan-Hengyang-IDC - Hengyang
chinanet	AS132437	CHINANET-HUAIBEI-IDC - China Telecom
chinanet	AS132833	CHINANET-ANHUI-WUHU-NEWIDC - China Telecom
chinanet	AS133774	CHINATELECOM-FUJIAN-FUZHOU-IDC1 - Fuzhou
chinanet	AS133775	CHINATELECOM-Fujian-Xiamen-IDC1 - Xiamen
chinanet	AS133776	CHINATELECOM-Fujian-Quanzhou-IDC1 - Quanzhou
chinanet	AS134238	CT-Jiangxi-IDC - CHINANET Jiangx province IDC network
chinanet	AS134425	CHINANET-HEFEI-QIMENLU-IDC - China Telecom
chinanet	AS134756	ChinaNet-NANJING-JISHAN-IDC - CHINANET Nanjing Jishan IDC network
chinanet	AS134760	ChinaNet-Hebei-Shijiazhuang-IDC - Shijiazhuang IDC network, CHINANET Hebei province
chinanet	AS134761	CHINANET-NINGXIA-ZHONGWEI-IDC - CHINANET NINGXIA province ZHONGWEI IDC network
chinanet	AS134763	CT-DongGuan-IDC - CHINANET Guangdong province network
chinanet	AS134764	CT-FoShan-IDC - CHINANET Guangdong province network
chinanet	AS134765	CHINANET-YUNNAN-IDC1 - CHINANET Yunnan province IDC1 network
chinanet	AS134766	CHINANET-YUNNAN-IDC2 - CHINANET Yunnan province IDC2 network
chinanet	AS134768	CHINANET-SHAANXI-CLOUD-BASE - CHINANET SHAANXI province Cloud Base network
chinanet	AS134769	ChinaNet-Jiangsu-Changzhou-Liyang-IDC - ChinaNet Jiangsu Changzhou Liyang IDC network
chinanet	AS134770	CHINANET-JIANGSU-SUZHOU-TAIHU-IDC - CHINANET Jiangsu province Suzhou taihu IDC network
chinanet	AS135089	CHINANET-Guangzhou-Southbase-IDC - China Telecom
chinanet	AS136188	CHINATELECOM-ZHEJIANG-NINGBO-IDC - NINGBO, ZHEJIANG Province, P.R.China.
chinanet	AS136190	CHINATELECOM-ZHEJIANG-JINHUA-IDC - JINHUA, ZHEJIANG Province, P.R.China.
chinanet	AS136195	CHINATELECOM-QINGDAO-CLOUDBASE - Qingdao, Shandong Province, P.R.China.
chinanet	AS137693	CHINATELECOM-Guangxi-Nanning-IDC - CHINATELECOM Guangxi Nanning IDC networkdescr: Nanning , Guangxi Province, P.R.China.
chinanet	AS137697	CHINATELECOM-JiangSu-YangZhou-IDC - CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhou , Jiangsu Province, P.R.China.
chinanet	AS137699	CHINATELECOM-Jiangsu-Suqian-IDC - CHINATELECOM Jiangsu Suqian IDC network
chinanet	AS138169	ASEAN-INTERNATIONAL-INFORMATION-GARDEN-IDC - China Telecom
chinanet	AS138570	CT-Anqing-IDC - China Telecom
